//Format: The first line must be listed as [x, y] where x and y are integers specifying the dimensions of the grid.
//The rest of the lines must be integers (00-99) representing blocks in the grid. A one should be placed at the start
//of the number if that block is solid. The numbers should be separated by commas. The number zero/one hundred is
//reserved for  empty spaces in the grid. Be sure that each number listed has a block created representing it.
//Ex: [numColumns, numRows]
[30, 10]
000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000
000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000
000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000
000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000
000, 000, 000, 110, 102, 114, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000
001, 000, 000, 013, 009, 016, 102, 114, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 035, 000, 000, 000, 000, 000, 000
114, 000, 000, 013, 009, 009, 009, 017, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 110, 114, 000, 000, 110, 102, 114, 000, 000, 000, 000, 033
116, 102, 102, 115, 009, 009, 009, 017, 000, 000, 000, 000, 000, 000, 000, 000, 000, 110, 112, 117, 000, 000, 013, 009, 017, 000, 000, 000, 110, 102
109, 109, 109, 116, 105, 105, 105, 105, 114, 000, 000, 035, 000, 000, 000, 000, 110, 112, 109, 117, 000, 000, 013, 009, 017, 032, 000, 110, 112, 109
109, 109, 109, 109, 109, 109, 109, 109, 117, 000, 110, 102, 114, 000, 110, 102, 112, 109, 109, 116, 102, 102, 105, 105, 105, 102, 102, 112, 109, 109
[30, 10]
000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000
000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000
000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000
000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000
000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 110, 114, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 032, 000, 033
000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 110, 112, 117, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 110, 102, 102
001, 000, 000, 000, 000, 000, 000, 000, 032, 110, 114, 000, 000, 110, 112, 109, 117, 000, 000, 000, 000, 000, 000, 000, 000, 000, 110, 112, 109, 109
102, 114, 000, 000, 000, 035, 000, 110, 102, 112, 117, 000, 000, 113, 109, 109, 121, 000, 000, 000, 000, 108, 000, 000, 000, 110, 112, 109, 109, 109
109, 116, 102, 102, 102, 102, 102, 112, 109, 109, 117, 000, 000, 113, 109, 117, 035, 000, 000, 000, 110, 123, 102, 102, 102, 112, 109, 109, 109, 109
109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 117, 000, 000, 113, 109, 116, 114, 000, 000, 110, 112, 109, 109, 109, 109, 109, 109, 109, 109, 109
[30, 10]
000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 035, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000
000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 110, 102, 114, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000
000, 000, 000, 000, 000, 000, 000, 110, 102, 102, 114, 000, 038, 000, 113, 109, 116, 114, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 110, 102
001, 000, 000, 000, 000, 110, 102, 112, 109, 109, 116, 102, 102, 102, 112, 109, 109, 116, 114, 000, 000, 000, 000, 000, 000, 000, 000, 110, 112, 109
001, 000, 000, 000, 110, 112, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 117, 000, 000, 000, 000, 000, 000, 000, 110, 112, 109, 109
102, 102, 114, 000, 120, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 121, 000, 000, 000, 000, 000, 000, 110, 112, 109, 118, 109
109, 109, 117, 000, 000, 120, 109, 109, 109, 109, 109, 109, 118, 118, 109, 109, 118, 121, 000, 000, 000, 000, 000, 000, 000, 120, 118, 121, 035, 113
115, 109, 116, 114, 000, 000, 120, 118, 118, 118, 118, 121, 035, 000, 120, 121, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 120
116, 115, 109, 116, 114, 000, 000, 000, 000, 000, 000, 000, 032, 000, 000, 000, 000, 110, 114, 000, 000, 000, 000, 000, 000, 000, 108, 000, 038, 033
109, 125, 109, 109, 116, 102, 102, 102, 102, 102, 102, 102, 114, 000, 110, 102, 102, 112, 117, 000, 000, 000, 108, 000, 000, 110, 123, 102, 102, 102
[30, 10]
000, 000, 110, 112, 109, 118, 109, 109, 109, 109, 118, 118, 118, 118, 118, 109, 109, 118, 118, 118, 116, 114, 000, 000, 000, 000, 000, 000, 000, 000
000, 110, 112, 109, 117, 035, 120, 118, 118, 121, 000, 000, 000, 000, 000, 120, 121, 000, 000, 000, 113, 116, 114, 000, 000, 000, 000, 000, 000, 000
102, 112, 109, 109, 117, 000, 000, 000, 000, 000, 000, 127, 102, 114, 000, 000, 038, 000, 108, 035, 113, 118, 121, 000, 000, 000, 000, 000, 000, 000
109, 109, 118, 118, 116, 114, 038, 000, 110, 114, 000, 000, 120, 116, 102, 102, 102, 102, 106, 000, 120, 000, 000, 000, 000, 000, 000, 000, 000, 000
109, 117, 035, 000, 120, 116, 102, 102, 112, 131, 128, 000, 000, 113, 109, 109, 118, 118, 121, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000
109, 121, 000, 000, 032, 113, 109, 118, 121, 000, 000, 000, 110, 112, 109, 121, 000, 000, 000, 000, 110, 114, 000, 000, 000, 000, 000, 000, 000, 000
117, 000, 000, 127, 129, 130, 121, 000, 000, 000, 110, 102, 112, 109, 121, 000, 000, 110, 114, 034, 113, 117, 000, 000, 000, 000, 000, 000, 000, 000
131, 128, 000, 000, 000, 000, 000, 000, 108, 000, 113, 118, 118, 121, 000, 000, 110, 112, 116, 022, 112, 121, 000, 000, 000, 000, 000, 000, 000, 000
001, 000, 000, 110, 102, 114, 000, 110, 106, 000, 103, 035, 000, 032, 000, 110, 112, 109, 109, 109, 117, 000, 037, 000, 000, 000, 037, 000, 037, 033
102, 102, 102, 112, 109, 116, 102, 112, 117, 000, 107, 102, 102, 102, 102, 112, 109, 109, 109, 109, 116, 102, 102, 102, 102, 102, 102, 102, 102, 102





